model.family,model.size,model.device,model.task_type,model.format,model.quantization,status,error,performance.fps,performance.mean_ms,performance.p50_ms,performance.p95_ms,performance.p99_ms,performance.min_ms,performance.max_ms,cpu.cpu_power,cpu.cpu_utilization.unit,cpu.cpu_utilization.samples,cpu.cpu_utilization.mean,cpu.cpu_utilization.p50,cpu.cpu_utilization.p95,cpu.cpu_utilization.p99,cpu.cpu_utilization.min,cpu.cpu_utilization.max,cpu.cpu_temperature.unit,cpu.cpu_temperature.samples,cpu.cpu_temperature.mean,cpu.cpu_temperature.p50,cpu.cpu_temperature.p95,cpu.cpu_temperature.p99,cpu.cpu_temperature.min,cpu.cpu_temperature.max,gpu.vram_usage,gpu.gpu_power,gpu.gpu_utilization,gpu.gpu_temperature,quality,performance,cpu,gpu
yolov8,n,cpu,detect,pytorch,fp32,success,,1.623757653372268,615.855449809995,614.3694560000199,705.3149449999978,745.7279669999934,501.6291659999865,763.6485040000025,,percent,600,59.48433333333338,58.5,80.5,85.7,37.5,87.5,celsius,601,53.813311148086356,54.0,55.1,55.65,51.8,56.2,,,,,,,,
yolov8,n,cpu,detect,openvino,fp32,success,,3.6469616252873744,274.20085615000175,270.420635999983,301.41315100001975,308.027017000029,256.7872409999836,319.97385299996495,,percent,263,96.8444866920152,97.6,100.0,100.0,85.0,100.0,celsius,264,57.53333333333335,57.3,58.4,58.95,55.65,59.5,,,,,,,,
yolov8,n,cpu,detect,openvino,fp16,success,,4.607237005649325,217.04982808,210.39367800000264,248.11365499999738,260.58571500004746,200.75383699997928,261.96882599998617,,percent,210,97.31476190476195,97.6,100.0,100.0,90.0,100.0,celsius,211,59.34360189573455,59.5,60.05,60.6,57.3,61.15,,,,,,,,
yolov8,s,cpu,detect,pytorch,fp32,success,,0.6841475201773313,1461.6730610099992,1461.639292999962,1515.5087950000166,1539.7703109999838,1399.0873060000695,1540.5367939999906,,percent,1430,47.830769230769214,46.3,65.0,74.4,30.0,81.0,celsius,1430,55.889230769230366,55.65,56.75,57.3,52.9,57.85,,,,,,,,
yolov8,s,cpu,detect,openvino,fp32,success,,1.6038349303692105,623.5055622399964,622.01578600002,671.4986220000583,687.7913939999871,577.4518739999621,688.8789849999739,,percent,596,96.25285234899293,97.5,100.0,100.0,60.3,100.0,celsius,596,60.68213087248323,60.6,61.7,62.25,58.95,62.8,,,,,,,,
yolov8,s,cpu,detect,openvino,fp16,success,,1.6473852761364371,607.0225432300025,603.7028169999985,660.905443000047,679.0888719999657,561.8506570000363,681.496738000078,,percent,580,96.28862068965486,97.5,100.0,100.0,82.9,100.0,celsius,581,61.03829604130829,61.15,61.7,62.25,58.95,62.8,,,,,,,,
yolov10,n,cpu,detect,pytorch,fp32,success,,2.0101067176792626,497.48602459999455,495.51950200009287,531.5221079999901,542.2612730000083,479.170694000004,542.3975139999584,,percent,487,55.251745379876795,53.7,67.5,75.6,42.5,90.3,celsius,487,57.039117043121095,57.3,57.85,58.4,55.65,58.4,,,,,,,,
yolov10,n,cpu,detect,openvino,fp32,success,,4.62186406200443,216.36291906999875,210.5759929999067,229.91364900008193,232.00375699991582,206.87075799992272,235.91015800002424,,percent,211,96.75545023696685,97.5,100.0,100.0,56.4,100.0,celsius,211,59.67464454976297,59.5,60.6,61.15,57.85,61.7,,,,,,,,
yolov10,n,cpu,detect,openvino,fp16,success,,4.772171778841054,209.54819867000995,204.95924199997262,243.4266469999784,259.7565460000624,193.22405000002618,262.55246499999885,,percent,204,97.05000000000005,97.6,100.0,100.0,67.5,100.0,celsius,204,60.70514705882352,60.6,61.15,61.7,58.95,62.25,,,,,,,,
yolov10,s,cpu,detect,pytorch,fp32,success,,0.7253334653330402,1378.6762196899952,1374.8450510000794,1454.7818430000916,1489.0951339999674,1325.5682049999677,1515.488495999989,,percent,1344,53.1375744047619,52.5,68.3,75.0,35.0,83.3,celsius,1344,56.19468005952324,56.2,57.3,57.85,54.0,58.4,,,,,,,,
yolov10,s,cpu,detect,openvino,fp32,success,,1.7409642643213208,574.3943287600044,570.6173800001579,617.0434399998612,625.4491469999266,529.719034999971,628.3359320000272,,percent,551,96.27259528130647,97.5,100.0,100.0,61.8,100.0,celsius,551,60.69782214156103,60.6,61.7,62.25,57.85,62.8,,,,,,,,
yolov10,s,cpu,detect,openvino,fp16,success,,1.9764316706736218,505.96234357000196,500.7941490000576,558.4651929998472,569.5715889999065,467.4620700000105,573.2200530001137,,percent,489,96.77443762781157,97.6,100.0,100.0,66.8,100.0,celsius,489,61.93732106339477,61.7,62.8,62.8,60.05,63.35,,,,,,,,
yolo11,n,cpu,detect,pytorch,fp32,success,,1.7645627205560837,566.7126412400123,561.6475150000042,596.1439669999891,596.9260429999395,541.2813560001268,605.1106370000525,,percent,551,60.09328493647921,60.0,75.0,80.0,42.5,89.3,celsius,551,57.573502722322715,57.3,58.4,58.95,55.65,58.95,,,,,,,,
yolo11,n,cpu,detect,openvino,fp32,success,,5.01594863554381,199.36408298000518,197.05172599992693,222.6493319999463,229.54986600007032,183.4841109998706,230.16566299997976,,percent,194,96.04175257731964,95.3,100.0,100.0,56.3,100.0,celsius,194,60.565979381443334,60.6,61.7,62.25,58.4,62.8,,,,,,,,
yolo11,n,cpu,detect,openvino,fp16,success,,5.3559357171271005,186.70873826999465,181.20568000017556,210.70306299998265,215.0448319998759,173.48184699994817,219.5098429999689,,percent,182,96.71868131868142,97.6,100.0,100.0,69.3,100.0,celsius,182,61.55192307692308,61.7,62.25,62.8,60.05,63.35,,,,,,,,
