[2026-07-21 02:59:56,219] #INFO     edge_ai_benchmark.cli - Логи этого прогона сохраняются в results\logs\run_20260721T025956.log
[2026-07-21 02:59:56,270] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8n [pytorch]...
[2026-07-21 02:59:56,270] #INFO     edge_ai_benchmark.infrastructure.models.pytorch_loader - Загрузка PyTorch-модели yolov8n из yolov8n-seg.pt
[2026-07-21 03:00:00,947] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [pytorch]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:00:02,147] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [pytorch] 32/32 кадров | FPS~27.2 | latency avg=36.7мс min=11.2мс max=104.2мс | CPU=80% GPU=12% RAM=1369МБ Power=34.6Вт GPU_temp=74°C
[2026-07-21 03:00:02,199] #INFO     edge_ai_benchmark.infrastructure.models.pytorch_loader - Оценка точности PyTorch-модели на датасете C:\Users\makar\OneDrive\RabochiyStol\acmenra\benchmark\Benchmark\.model_cache\accuracy_segment_segment.yaml (task=segment)
[2026-07-21 03:00:24,574] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8n [onnx]...
[2026-07-21 03:00:26,658] #INFO     edge_ai_benchmark.infrastructure.models.onnx_loader - Загрузка ONNX-модели yolov8n из yolov8n-seg.onnx
[2026-07-21 03:00:27,728] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [onnx]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:00:30,557] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [onnx] 32/32 кадров | FPS~11.3 | latency avg=88.3мс min=75.6мс max=129.3мс | CPU=1149% GPU=0% RAM=1760МБ Power=16.7Вт GPU_temp=71°C
[2026-07-21 03:00:38,379] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8n [openvino]...
[2026-07-21 03:00:40,338] #INFO     edge_ai_benchmark.infrastructure.models.openvino_loader - Загрузка OpenVINO-модели yolov8n из yolov8n-seg_openvino_model\yolov8n-seg.xml
[2026-07-21 03:00:41,573] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [openvino]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:00:44,450] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [openvino] 32/32 кадров | FPS~11.1 | latency avg=89.9мс min=80.9мс max=111.3мс | CPU=658% GPU=0% RAM=1761МБ Power=16.4Вт GPU_temp=71°C
[2026-07-21 03:00:51,249] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8n [tensorrt]...
[2026-07-21 03:02:16,126] #INFO     edge_ai_benchmark.infrastructure.models.tensorrt_loader - Загрузка TensorRT engine yolov8n из yolov8n-seg.engine
[2026-07-21 03:02:17,086] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [tensorrt]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:02:18,453] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8n [tensorrt] 32/32 кадров | FPS~23.5 | latency avg=42.6мс min=27.3мс max=82.3мс | CPU=247% GPU=23% RAM=2582МБ Power=29.2Вт GPU_temp=81°C
[2026-07-21 03:02:51,256] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8l [pytorch]...
[2026-07-21 03:02:51,256] #INFO     edge_ai_benchmark.infrastructure.models.pytorch_loader - Загрузка PyTorch-модели yolov8l из yolov8l-seg.pt
[2026-07-21 03:03:04,251] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8l [pytorch]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:03:05,833] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8l [pytorch] 32/32 кадров | FPS~20.2 | latency avg=49.4мс min=27.0мс max=108.4мс | CPU=86% GPU=53% RAM=2529МБ Power=63.1Вт GPU_temp=83°C
[2026-07-21 03:03:05,908] #INFO     edge_ai_benchmark.infrastructure.models.pytorch_loader - Оценка точности PyTorch-модели на датасете C:\Users\makar\OneDrive\RabochiyStol\acmenra\benchmark\Benchmark\.model_cache\accuracy_segment_segment.yaml (task=segment)
[2026-07-21 03:03:34,453] #INFO     edge_ai_benchmark.application.benchmark_runner - Бенчмарк yolov8l [onnx]...
[2026-07-21 03:03:44,107] #INFO     edge_ai_benchmark.infrastructure.models.onnx_loader - Загрузка ONNX-модели yolov8l из yolov8l-seg.onnx
[2026-07-21 03:03:57,236] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8l [onnx]: прогон всего датасета один раз, 32 кадров
[2026-07-21 03:04:07,456] #INFO     edge_ai_benchmark.application.benchmark_runner - yolov8l [onnx] 9/32 кадров | FPS~0.9 | latency avg=1135.5мс min=1090.7мс max=1211.2мс | CPU=1162% GPU=0% RAM=3831МБ Power=16.8Вт GPU_temp=74°C
