model,format,task,fps,latency_p50_ms,latency_p95_ms,latency_p99_ms,compute_latency_p50_ms,compute_latency_p95_ms,compute_latency_p99_ms,gpu_utilization_pct,vram_usage_peak_mb,cpu_percent,ram_used_mb,disk_read_mb,disk_write_mb,power_w,fps_per_watt,gpu_temperature_c,cpu_temperature_c,precision,recall,map50,map50_95,mask_map50,mask_map50_95
yolov8n,pytorch,segment,27.25,14.23,80.84,96.95,10.16,77.32,81.01,12.33,1124.27,79.6,1369.34,0.0,0.0,37.23,0.73,74.0,,0.65,0.57,0.68,0.52,0.65,0.41
yolov8n,onnx,segment,11.33,87.2,108.49,125.38,63.68,68.2,70.47,0.0,1004.27,1149.26,1760.28,0.0,0.0,16.47,0.69,71.0,,0.65,0.57,0.68,0.52,0.65,0.41
yolov8n,openvino,segment,11.13,88.3,104.04,110.89,69.88,75.13,76.93,0.0,1000.27,657.74,1760.79,0.0,0.0,16.39,0.68,71.0,,0.64,0.58,0.69,0.52,0.65,0.42
yolov8n,tensorrt,segment,23.47,39.77,66.39,77.93,7.09,14.51,16.22,22.71,1188.27,247.04,2581.55,0.0,0.0,39.22,0.6,82.0,,0.65,0.57,0.68,0.52,0.65,0.41
yolov8l,pytorch,segment,20.23,30.65,91.24,103.4,26.16,81.65,85.16,53.38,1464.27,85.61,2528.92,0.0,0.0,90.52,0.22,85.0,,0.71,0.79,0.87,0.72,0.85,0.61
yolov8l,onnx,segment,0.93,1076.37,1167.08,1197.91,1037.71,1142.08,1143.16,0.0,1020.27,1183.79,3822.87,0.0,0.0,16.63,0.06,73.0,,0.71,0.8,0.87,0.72,0.85,0.61
yolov8l,openvino,segment,0.94,1070.26,1101.87,1107.63,1046.47,1075.97,1080.31,0.0,1016.27,828.6,3349.88,0.0,0.0,16.41,0.06,71.0,,0.71,0.79,0.87,0.72,0.85,0.62
yolov8l,tensorrt,segment,14.54,62.39,100.27,123.75,25.26,40.81,41.08,42.73,1936.27,164.87,3495.83,0.0,0.0,59.55,0.24,84.0,,0.71,0.79,0.87,0.72,0.85,0.61
yolov11n,pytorch,segment,25.23,30.18,66.6,69.19,24.96,60.64,62.41,16.43,1094.27,76.94,2657.61,0.0,0.0,38.82,0.65,80.0,,0.61,0.69,0.72,0.55,0.7,0.45
yolov11n,onnx,segment,7.86,122.72,155.18,172.35,89.6,100.89,101.51,0.0,1020.27,1173.48,2904.69,0.0,0.0,16.91,0.46,75.0,,0.61,0.69,0.72,0.55,0.7,0.45
yolov11n,openvino,segment,8.19,118.57,140.58,162.54,92.59,106.06,108.45,0.0,1016.27,599.58,2665.33,0.0,0.0,16.85,0.49,74.0,,0.61,0.69,0.72,0.55,0.69,0.45
yolov11n,tensorrt,segment,14.51,63.47,97.44,121.08,14.99,24.48,27.86,17.09,1176.27,217.48,2673.91,0.0,0.0,35.42,0.41,81.0,,0.61,0.69,0.72,0.55,0.7,0.45
yolov26n,pytorch,segment,39.52,21.19,41.77,43.25,18.37,38.21,40.14,31.2,1096.27,76.68,2600.82,0.0,0.0,38.48,1.03,74.0,,0.71,0.63,0.74,0.56,0.71,0.47
yolov26n,onnx,segment,5.7,177.47,196.06,198.91,59.76,64.51,66.35,0.0,1022.27,1288.06,2887.07,0.0,0.0,16.51,0.35,72.0,,0.71,0.63,0.74,0.56,0.71,0.46
yolov26n,openvino,segment,6.53,150.93,173.26,178.83,71.41,75.14,76.98,0.0,1018.27,633.29,2860.41,0.0,0.0,16.43,0.4,72.0,,0.71,0.6,0.73,0.56,0.7,0.46
yolov26n,tensorrt,segment,4.15,234.34,302.58,323.54,43.67,44.35,45.95,17.95,1168.27,415.76,2830.33,0.0,0.0,20.16,0.21,78.0,,0.7,0.63,0.74,0.56,0.71,0.46
